"TT","Serial","PrintPincode","Provider","Value","Expire Date"
"1","10004525942310","811760034660940","Viettel","10000","30/05/2020"
"2","10004526002200","614530026310010","Viettel","10000","30/05/2020"
"3","10004526003120","513763052653320","Viettel","10000","30/05/2020"
"4","10004526006810","313276985789700","Viettel","10000","30/05/2020"
"5","10004526007090","816590778555680","Viettel","10000","30/05/2020"
"6","10004526021131","515003877479110","Viettel","10000","30/05/2020"
"7","10004526023990","915109975699780","Viettel","10000","30/05/2020"
"8","10004526035730","719283671089370","Viettel","10000","30/05/2020"
"9","10004526039950","514596010219180","Viettel","10000","30/05/2020"
"10","10004526041670","918379432771900","Viettel","10000","30/05/2020"
"11","10004526041750","810461538622730","Viettel","10000","30/05/2020"
"12","10004526041930","216183223679360","Viettel","10000","30/05/2020"
"13","10004526042290","513393612859960","Viettel","10000","30/05/2020"
"14","10004526042580","216100995375120","Viettel","10000","30/05/2020"
"15","10004526042779","718756863269870","Viettel","10000","30/05/2020"
"16","10004526043380","216721997933560","Viettel","10000","30/05/2020"
